ticker,date,open,high,low,close,volume
AAPL,2021-06-01,121.92197831860382,122.18515807859856,120.81076166659518,121.14217376708984,67637100
AAPL,2021-06-02,121.14217571934483,122.07793673418138,120.91798692698966,121.90248107910156,59278900
AAPL,2021-06-03,121.5320538514475,121.69775987143738,120.02118559755706,120.42083740234376,76229200
AAPL,2021-06-04,120.9374616364624,122.97469686847109,120.7230150397492,122.71150970458984,75169300
AAPL,2021-06-07,122.98443979955708,123.13065406520676,121.67827588309044,122.72126007080078,71057600
AAPL,2021-06-08,123.4035896495703,125.21663622404849,123.0234370016728,123.54005432128906,74403800
AAPL,2021-06-09,123.99818609803276,124.52455300706954,123.32560491924684,123.92020416259766,56877900
AAPL,2021-06-10,123.81297704481985,124.953442364302,122.7602506959565,122.92595672607422,71186400
AAPL,2021-06-11,123.33534735483208,124.2223750861466,122.91620377217826,124.1346435546875,53522400
AAPL,2021-06-14,124.5927869938568,127.24410590291394,123.8617230721818,127.18562316894533,96906500
AAPL,2021-06-15,126.65928038857136,127.30262029411196,126.1231638006209,126.36685180664062,62746300
AAPL,2021-06-16,127.07842216944792,127.58529740869534,125.21665702603656,126.86397552490234,91815000
AAPL,2021-06-17,126.5227930118364,129.20336059736883,126.37657131032402,128.46253967285156,96721700
AAPL,2021-06-18,127.4098715310989,128.18966142240936,126.95173678950768,127.16618347167967,108953300
AAPL,2021-06-21,127.0101823744656,129.06690958900398,125.9477063159808,128.95968627929688,79663300
AAPL,2021-06-22,128.79396232556323,130.6947253937975,128.29682937988724,130.5972442626953,74783600
AAPL,2021-06-23,130.39256533356104,130.92868185123652,129.8661909803765,130.32432556152344,60214200
AAPL,2021-06-24,131.05539194095186,131.240597184488,129.5737648661965,130.04165649414062,68711000
AAPL,2021-06-25,130.09034500838797,130.50948102464332,129.45674759332545,129.74917602539062,70783700
AAPL,2021-06-28,130.04168479997963,131.83522514355917,129.98320205214029,131.37709045410156,62111300
AAPL,2021-06-29,131.3965550234282,133.0438880631515,130.9579196567259,132.88792419433594,64556100
AAPL,2021-06-30,132.73196707347742,133.9406648079474,132.43953852296474,133.5020294189453,63261400
AAPL,2021-07-01,133.15111722207564,133.86268195374564,132.3323143115352,133.80419921875,52485800
AAPL,2021-07-02,134.41828334809892,136.46526832234767,134.27207651002422,136.42628479003906,78852600
AAPL,2021-07-06,136.53347186094717,139.53569387856405,136.53347186094717,138.43423461914062,108181800
AAPL,2021-07-07,139.91588320227137,141.23180423568894,139.0581116318865,140.91989135742188,104911600
AAPL,2021-07-08,138.0053823208354,140.42276298269945,137.11835448019005,139.62347412109375,105575500
AAPL,2021-07-09,139.1458282969305,141.97260274724476,139.04834716131978,141.4462432861328,99890800
AAPL,2021-07-12,142.51848639937432,142.62570970674338,140.364278087154,140.85165405273438,76299700
AAPL,2021-07-13,140.39350901995925,143.7369156295679,140.00361422588887,141.96286010742188,100827100
AAPL,2021-07-14,144.3607540301203,145.79364043052715,143.95134516697595,145.3842315673828,127050800
AAPL,2021-07-15,145.4720070192926,146.21281325196273,143.37628110522587,144.73118591308594,106820300
AAPL,2021-07-16,144.71166743629377,145.97883295333372,142.19680585690423,142.6939239501953,93251400
AAPL,2021-07-19,140.12058929133983,140.43251704679776,138.0931035014654,138.85340881347656,121434600
AAPL,2021-07-20,139.83790622702588,143.3860023478585,139.35053030452949,142.45997619628906,96350000
AAPL,2021-07-21,141.85565012536404,142.4405072449087,140.97837931958148,141.7289276123047,74993500
AAPL,2021-07-22,142.2553100922622,144.4582442706814,142.12858757198936,143.09359741210938,77338200
AAPL,2021-07-23,143.82463382519293,144.96509166825837,143.210535419876,144.8091278076172,71447400
AAPL,2021-07-26,144.52644902049065,146.04705940106285,143.97083337261068,145.228271484375,72434100
AAPL,2021-07-27,145.35501995009983,145.44275893789174,141.87516288945258,143.06436157226562,104818600
AAPL,2021-07-28,141.1537977724019,143.25926511063363,138.9411071473103,141.3195037841797,118931200
AAPL,2021-07-29,141.03684881635502,142.8498878684949,140.92962551695572,141.96286010742188,56699500
AAPL,2021-07-30,140.73469364228038,142.63545700170118,140.47150644681145,142.1773223876953,70440600
AAPL,2021-08-02,142.6646588267022,143.23975875771586,141.58268384916155,141.8458709716797,62880000
